Comment,Designator,Footprint,LCSC
"100nF","C1,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C18","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49678"
"4.7uF","C16","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1779"
"10uF","C17","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C15850"
"10uF","C2","Capacitor_Tantalum_SMD:CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder","C2976905"
"SK6812","D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D15","LED_SMD:LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm","C5160656"
"SW-5V","D12","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C93094"
"SW-3.3V","D13","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C93094"
"SW-1","D14","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C93094"
"SW-2","D16","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C93094"
"IO2","D17","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C88326"
"5V","D18","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C99881"
"3.3V","D19","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C99881"
"SW-5V","J1","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","C173752"
"SW-1","J2","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","C173752"
"Conn_02x12_Odd_Even","J3","Connector_PinHeader_2.54mm:PinHeader_2x12_P2.54mm_Vertical","C62744"
"SW-3.3V","J4","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","C173752"
"SW-2","J5","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","C173752"
"EXT_LED","J6","Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal","C157929"
"Conn_IN","J7","Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal","C157926"
"Conn_OUT","J8","Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal","C157926"
"USB_B_Micro","J9","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal","C132563"
"Disable ESP Log","JP1","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"BSS138","Q1,Q2,Q3,Q4","Package_TO_SOT_SMD:SOT-23","C255592"
"BC817","Q5,Q6","Package_TO_SOT_SMD:SOT-23","C52801"
"10K","R1,R2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
"470","R3,R4,R6,R7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17710"
"1K","R5","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17513"
"10K","RN1","Resistor_SMD:R_Array_Convex_4x0603","C29718"
"1K","RN2","Resistor_SMD:R_Array_Convex_4x0603","C20197"
"PROG","SW1","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","C83206"
"RST","SW2","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","C83206"
"ESP32-WROOM-32D","U1","RF_Module:ESP32-WROOM-32","C529578"
"TSOP312xx","U2","OptoDevice:Vishay_CAST-3Pin",""
"AZ1117-3.3","U3","Package_TO_SOT_SMD:SOT-223","C92517"
"CH340C","U4","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C84681"